lr,batch_size,hidden_sizes,epochs,mse,r2
0.001,8,"(128, 256, 512, 512, 256, 128, 32)",200,28.947229385375977,0.04828149080276489
0.001,8,"(128, 256, 512, 512, 256, 128, 32)",300,32.990028381347656,-0.08463644981384277
0.001,8,"(32, 64, 182, 256, 128, 64, 32)",100,36.32516098022461,-0.19428801536560059
0.001,8,"(32, 64, 182, 256, 128, 64, 32)",150,26.807247161865234,0.11863917112350464
0.001,8,"(32, 64, 182, 256, 128, 64, 32)",200,29.657930374145508,0.02491527795791626
0.001,8,"(32, 64, 182, 256, 128, 64, 32)",300,28.92355728149414,0.04905974864959717
0.001,8,"(64, 128, 256, 512, 256, 128, 64, 32)",100,41.63960647583008,-0.3690147399902344
0.001,8,"(64, 128, 256, 512, 256, 128, 64, 32)",150,22.4027042388916,0.2634504437446594
0.001,8,"(64, 128, 256, 512, 256, 128, 64, 32)",200,27.971267700195312,0.08036887645721436
0.001,8,"(64, 128, 256, 512, 256, 128, 64, 32)",300,33.49505615234375,-0.10124063491821289
0.001,8,"(64, 128, 256, 512, 512, 256, 128, 64, 32)",100,33.876922607421875,-0.11379551887512207
0.001,8,"(64, 128, 256, 512, 512, 256, 128, 64, 32)",150,32.60093688964844,-0.07184410095214844
0.001,8,"(64, 128, 256, 512, 512, 256, 128, 64, 32)",200,31.02332878112793,-0.019975900650024414
0.001,8,"(64, 128, 256, 512, 512, 256, 128, 64, 32)",300,34.11610412597656,-0.12165915966033936
0.001,8,"(16, 32, 64, 128, 256, 256, 128, 64, 32, 8)",100,30.556961059570312,-0.004642844200134277
0.001,8,"(16, 32, 64, 128, 256, 256, 128, 64, 32, 8)",150,38.93903732299805,-0.2802262306213379
0.001,8,"(16, 32, 64, 128, 256, 256, 128, 64, 32, 8)",200,34.271568298339844,-0.1267704963684082
0.001,8,"(16, 32, 64, 128, 256, 256, 128, 64, 32, 8)",300,32.215152740478516,-0.05916035175323486
0.001,8,"(8, 16, 32, 64, 128, 256, 256, 128, 64, 32, 8)",100,28.16651153564453,0.07394975423812866
0.001,8,"(8, 16, 32, 64, 128, 256, 256, 128, 64, 32, 8)",150,28.969070434570312,0.047563374042510986
0.001,8,"(8, 16, 32, 64, 128, 256, 256, 128, 64, 32, 8)",200,26.5253963470459,0.12790584564208984
0.001,8,"(8, 16, 32, 64, 128, 256, 256, 128, 64, 32, 8)",300,48.228736877441406,-0.5856502056121826
0.001,8,"(16, 32, 64, 128, 256, 512, 256, 128, 64, 32, 16)",100,33.03693389892578,-0.08617866039276123
0.001,8,"(16, 32, 64, 128, 256, 512, 256, 128, 64, 32, 16)",150,33.79685974121094,-0.11116325855255127
0.001,8,"(16, 32, 64, 128, 256, 512, 256, 128, 64, 32, 16)",200,29.8427734375,0.018838047981262207
0.001,8,"(16, 32, 64, 128, 256, 512, 256, 128, 64, 32, 16)",300,33.75877380371094,-0.10991108417510986
0.001,16,"(1024, 512, 256)",100,27.627939224243164,0.09165674448013306
0.001,16,"(1024, 512, 256)",150,25.374067306518555,0.16575884819030762
0.001,16,"(1024, 512, 256)",200,30.06637191772461,0.011486649513244629
0.001,16,"(1024, 512, 256)",300,31.072071075439453,-0.021578431129455566
0.001,16,"(512, 256, 128)",100,29.926712036132812,0.01607835292816162
