PCA1,PCA2,Cell Number,Area_MA,Cluster
-1.9563217380545133,-2.041766334192891,2,19498.8,1
-2.2245481392817616,-1.0835751530262758,2,18973.8,1
-2.3041874297814124,-0.46937844081381336,2,18925.4,1
-2.158976482023782,0.01721060429523429,2,19436.0,1
-2.0252725949145036,0.3957504263450596,2,19905.0,1
-2.262010334218067,0.6045683635445535,2,19666.4,1
-2.218002187665772,0.5798451501997268,2,19730.8,1
-2.1633016696614145,0.5501763418252377,2,19711.2,1
-2.444755214800671,0.4562711149713755,2,18985.2,1
-2.717141522606437,0.4206400845299487,2,18484.2,1
-3.036068540547626,0.41526639640063423,2,17887.2,1
-3.1070284088930276,0.4412247616548217,2,17740.0,1
-3.1318962486624757,0.4171596597235051,2,17594.6,1
-3.075847435781359,0.3472182738366854,2,17387.2,1
-3.0680723276721573,0.280081480158352,2,17108.2,1
-2.3698150845240793,0.32980462405174116,2,18780.2,1
-2.3067968712957345,0.2731812861446172,2,18591.6,1
-1.571012780133916,0.3357057833032612,2,20303.0,1
-0.958657390493942,0.4353612985467659,2,22115.4,1
-0.9285957031905359,0.49212156399289625,2,22171.0,1
-1.4568433559209237,0.41663281344581415,2,20468.6,1
-0.7031117143651615,0.4097597997354533,2,22520.6,1
-0.6909723297664574,0.32998487774466445,2,22211.8,1
-1.0705191525654927,0.31921009002092793,2,20386.8,1
-0.8531286306428931,0.361781879204754,2,20409.2,1
-0.7788587176902662,0.3308058326871843,2,20102.0,1
-0.7403409833382406,0.4562996400012067,2,19553.0,1
-0.8768178234952827,0.5509428375365697,2,18203.6,1
-0.4612538910904515,0.599330450641411,2,18707.8,1
-0.06188972391408782,0.6574371879371316,2,19144.0,1
0.4704569903367268,0.7853973792166237,2,19827.2,0
-0.1427951401237184,0.7673531615147584,2,17012.0,1
-0.021511795107838367,0.7892926881509958,2,17295.4,1
0.004262447468365313,0.786107491407925,2,17224.8,1
0.03218474370875851,0.7865708833305404,2,17215.8,1
0.10851018177978919,0.7734684231215396,2,17306.0,1
0.3699801109644611,0.6568760796967635,2,18503.2,1
0.01681239379788605,0.49334187134281055,2,18066.6,1
-0.29393559925595353,0.29690743365122735,2,17748.0,1
-0.7986224597264934,0.12966501246016132,2,17220.6,1
-1.2760261270371687,-0.31317044134592514,2,16656.2,1
-1.5521394185754565,-0.3369988467041377,2,16929.0,1
-1.7244392165546618,-0.3278910208960584,2,17055.4,1
-1.3792362178266688,-0.3209182438792575,2,18469.6,1
-0.9555461930724509,-0.448069090639298,2,20288.0,1
-0.634668425565531,-0.29532415624521696,2,21720.4,1
-0.49155263704460017,-0.3841294628384315,2,21438.4,1
0.16990618759174272,-0.6876033320037876,2,22589.6,1
-0.10694964542912255,-1.037040317790703,2,20946.8,1
-0.2758358991702103,-0.9668537708147596,2,20110.6,1
-0.38056338541183765,-0.9506945334843266,2,19685.2,1
-0.1911962660986852,-1.0608438282893864,2,20612.4,1
-0.5171137687094383,-0.8971012352963905,2,20056.2,1
-1.7447724627137409,0.6681603621275195,3,34825.0,1
-1.3825139910686064,0.16954623373162156,3,35662.5,1
-0.410558883791898,0.14007390621659158,3,39844.0,1
-0.4948013268862943,0.11206407290015176,3,38785.0,1
-0.8321704248338628,0.20978116753860046,3,38162.0,1
-0.07978514090205807,0.17985483997362298,3,41532.2,1
0.5468850568533898,0.3271511799865095,3,44673.4,0
-0.18329093871299745,0.4519002126097398,3,42432.2,1
-0.7887548740752759,0.5214083402717923,3,41995.6,1
-0.08577198963734155,0.5051464023064929,3,45456.4,1
-0.17886141757575538,0.48618990959903274,3,45652.2,1
-0.31309396382411836,0.5797574728418414,3,45860.4,1
0.5374250673297998,0.43545631477801017,3,48635.8,0
1.594580744539061,0.47517308663641306,3,52026.2,0
0.8915158496312421,0.3476975517684627,3,47144.2,0
0.2677632808479138,0.3219538123520416,3,43499.0,1
-0.21939731875905794,0.3714088178903411,3,40480.2,1
-1.1936811179354883,0.49629301860117475,3,37023.0,1
-1.7227735877596004,0.5996679301958601,3,34705.6,1
-1.4849908499237752,0.8324348966484655,3,36725.0,1
-1.552072426628059,0.9494088576984099,3,36912.8,1
-1.7014967884876642,0.9422386587256157,3,36531.4,1
-1.4469474272280098,0.9483417141131676,3,37308.6,1
-1.5909409302355721,0.9234453347034995,3,37818.0,1
-1.6797942968512336,0.8293570352628674,3,38077.0,1
-1.817750361838066,0.8310127662600222,3,38554.8,1
-1.9635930015039196,0.7803322650801885,3,38776.2,1
