lr,batch_size,hidden_sizes,epochs,mse,r2
0.01,16,"(1024, 512, 256, 128, 64)",300,30.475784301757812,-0.001973867416381836
0.01,16,"(1024, 512, 256, 128, 64, 32, 16)",100,30.435253143310547,-0.0006413459777832031
0.01,16,"(1024, 512, 256, 128, 64, 32, 16)",150,30.432083129882812,-0.0005371570587158203
0.01,16,"(1024, 512, 256, 128, 64, 32, 16)",200,30.442554473876953,-0.0008813142776489258
0.01,16,"(1024, 512, 256, 128, 64, 32, 16)",300,30.520124435424805,-0.00343167781829834
0.01,16,"(512, 256, 128, 64, 32, 16, 8)",100,30.43712615966797,-0.0007028579711914062
0.01,16,"(512, 256, 128, 64, 32, 16, 8)",150,30.4349365234375,-0.0006308555603027344
0.01,16,"(512, 256, 128, 64, 32, 16, 8)",200,30.438528060913086,-0.0007489919662475586
0.01,16,"(512, 256, 128, 64, 32, 16, 8)",300,30.45772933959961,-0.0013802051544189453
0.01,16,"(128, 256, 512, 256, 128, 64, 32)",100,30.436763763427734,-0.0006909370422363281
0.01,16,"(128, 256, 512, 256, 128, 64, 32)",150,30.42410659790039,-0.00027489662170410156
0.01,16,"(128, 256, 512, 256, 128, 64, 32)",200,30.4359130859375,-0.0006630420684814453
0.01,16,"(128, 256, 512, 256, 128, 64, 32)",300,30.453561782836914,-0.0012432336807250977
0.01,16,"(128, 256, 512, 512, 256, 128, 32)",100,30.439697265625,-0.0007873773574829102
0.01,16,"(128, 256, 512, 512, 256, 128, 32)",150,30.439035415649414,-0.000765681266784668
0.01,16,"(128, 256, 512, 512, 256, 128, 32)",200,30.444597244262695,-0.0009485483169555664
0.01,16,"(128, 256, 512, 512, 256, 128, 32)",300,30.445371627807617,-0.0009739398956298828
0.01,16,"(32, 64, 182, 256, 128, 64, 32)",100,30.138954162597656,0.00910031795501709
0.01,16,"(32, 64, 182, 256, 128, 64, 32)",150,26.263229370117188,0.13652527332305908
0.01,16,"(32, 64, 182, 256, 128, 64, 32)",200,30.457923889160156,-0.0013866424560546875
0.01,16,"(32, 64, 182, 256, 128, 64, 32)",300,30.439599990844727,-0.0007841587066650391
0.01,16,"(64, 128, 256, 512, 256, 128, 64, 32)",100,30.460250854492188,-0.001463174819946289
0.01,16,"(64, 128, 256, 512, 256, 128, 64, 32)",150,30.433935165405273,-0.0005979537963867188
0.01,16,"(64, 128, 256, 512, 256, 128, 64, 32)",200,30.436153411865234,-0.0006709098815917969
0.01,16,"(64, 128, 256, 512, 256, 128, 64, 32)",300,30.438825607299805,-0.0007587671279907227
0.01,16,"(64, 128, 256, 512, 512, 256, 128, 64, 32)",100,30.42700958251953,-0.00037026405334472656
0.01,16,"(64, 128, 256, 512, 512, 256, 128, 64, 32)",150,30.435874938964844,-0.0006617307662963867
0.01,16,"(64, 128, 256, 512, 512, 256, 128, 64, 32)",200,30.43817710876465,-0.0007374286651611328
