PCA1,PCA2,Cell Number,Area_MA,Cluster
-0.37165574404433743,-0.41389910324083407,2,19912.2,0
-0.39027410912483335,-0.5073903035526746,2,18968.2,2
0.01770021990068572,-0.5314265575071162,2,19404.4,2
0.4576651233994856,-0.545477934198384,2,19827.2,2
-0.16868063680971948,-0.566437240823355,2,17012.0,2
-0.04544408783939755,-0.569216634734936,2,17295.4,2
-0.01952327957414197,-0.5603356795641778,2,17224.8,2
0.008880384715276463,-0.5590677067832784,2,17215.8,2
0.08682754926079744,-0.5433695919940876,2,17306.0,2
0.35086142970155804,-0.37747841022960643,2,18503.2,0
-0.010844879700699387,-0.24149118932270594,2,18066.6,0
-0.32902072182811126,-0.08152691719855236,2,17748.0,0
-0.8458549882684809,0.05191910019091009,2,17220.6,1
-1.3368930685726714,0.4420622844286438,2,16656.2,1
-1.6181339985524195,0.4331932796699336,2,16929.0,1
-1.793895046901891,0.40828200896204414,2,17055.4,1
-1.4406383114033992,0.3989831521737736,2,18469.6,1
-1.0081740421656284,0.5130010306166392,2,20288.0,1
-0.6789852012761325,0.36516532556800807,2,21720.4,1
-0.533943164990577,0.45798796603847547,2,21438.4,1
0.1389791018005523,0.7743248529231883,2,22589.6,0
-0.1482685793477911,1.1294173435025165,2,20946.8,0
-0.32075088894548354,1.0709165282810664,2,20110.6,0
-0.42833770484079214,1.0664182628903063,2,19685.2,0
-0.2318108556426633,1.11751455546614,2,20562.2,0
1.5456070636829986,-0.07283711580036568,3,48207.0,0
0.37831311310651533,-0.0414567976030323,3,41907.5,0
-0.4978424978519489,-0.2540227641528004,3,39828.333333333336,1
0.1376517161317069,-0.2970270460057323,3,42790.25,0
-0.3265464150869897,-0.393439977850005,3,41632.4,0
-1.4121061297921529,-0.4960510151093115,3,38676.0,1
-0.9848780711145566,-0.5964242623266376,3,42149.2,1
-0.22134390019884687,-0.540079151733689,3,45546.2,2
-0.3379736939808604,-0.6197290312517937,3,45860.4,2
0.5303333012853467,-0.4497682576216321,3,48635.8,0
0.8545603290381607,-0.30388227879861013,3,47663.6,0
0.2602787261514693,-0.2777478883624313,3,43954.6,0
-0.2594636882054493,-0.42390898873423677,3,41054.2,2
-1.1152452954397905,-0.4094476095078503,3,37123.2,1
-1.7525643058167184,-0.6380578515139435,3,34679.8,1
-1.6924669969814858,-0.8579238163740697,3,36040.6,1
-1.7262156748858235,-1.015594845219819,3,36404.0,1
-1.8228032877200713,-0.9354422517779297,3,36269.0,1
