lr,batch_size,hidden_sizes,epochs,mse,r2
0.001,16,"(64, 32, 16, 8)",200,50.91307067871094,-0.12353050708770752
0.001,16,"(64, 32, 16, 8)",300,47.49350357055664,-0.048068881034851074
0.001,32,"(256, 128, 64)",100,48.028564453125,-0.059876441955566406
0.001,32,"(256, 128, 64)",200,51.97300338745117,-0.1469208002090454
0.001,32,"(256, 128, 64)",300,55.686119079589844,-0.2288604974746704
0.001,32,"(128, 64, 32)",100,48.766265869140625,-0.07615578174591064
0.001,32,"(128, 64, 32)",200,50.74912643432617,-0.11991274356842041
0.001,32,"(128, 64, 32)",300,51.12554931640625,-0.12821948528289795
0.001,32,"(64, 32, 16)",100,50.08269119262695,-0.10520601272583008
0.001,32,"(64, 32, 16)",200,48.13628005981445,-0.062253475189208984
0.001,32,"(64, 32, 16)",300,51.221641540527344,-0.13033998012542725
0.001,32,"(32, 16, 8)",100,48.4579963684082,-0.06935298442840576
0.001,32,"(32, 16, 8)",200,49.04721450805664,-0.08235561847686768
0.001,32,"(32, 16, 8)",300,49.627079010009766,-0.09515178203582764
0.001,32,"(64, 32, 16, 8)",100,49.19746398925781,-0.08567118644714355
0.001,32,"(64, 32, 16, 8)",200,49.07467269897461,-0.0829615592956543
0.001,32,"(64, 32, 16, 8)",300,51.728511810302734,-0.14152538776397705
0.0001,8,"(256, 128, 64)",100,48.26736068725586,-0.06514608860015869
0.0001,8,"(256, 128, 64)",200,48.549442291259766,-0.07137095928192139
0.0001,8,"(256, 128, 64)",300,48.081336975097656,-0.06104099750518799
0.0001,8,"(128, 64, 32)",100,47.75516128540039,-0.053843021392822266
0.0001,8,"(128, 64, 32)",200,48.124454498291016,-0.06199240684509277
0.0001,8,"(128, 64, 32)",300,48.426910400390625,-0.06866693496704102
0.0001,8,"(64, 32, 16)",100,45.82675552368164,-0.011287689208984375
0.0001,8,"(64, 32, 16)",200,46.79405975341797,-0.03263378143310547
0.0001,8,"(64, 32, 16)",300,47.12294006347656,-0.03989136219024658
0.0001,8,"(32, 16, 8)",100,45.48117446899414,-0.003661513328552246
0.0001,8,"(32, 16, 8)",200,45.81089782714844,-0.010937690734863281
0.0001,8,"(32, 16, 8)",300,45.809852600097656,-0.01091468334197998
0.0001,8,"(64, 32, 16, 8)",100,45.738800048828125,-0.009346723556518555
0.0001,8,"(64, 32, 16, 8)",200,47.53288650512695,-0.04893803596496582
0.0001,8,"(64, 32, 16, 8)",300,47.635765075683594,-0.0512082576751709
0.0001,16,"(256, 128, 64)",100,48.476558685302734,-0.0697624683380127
0.0001,16,"(256, 128, 64)",200,49.06101989746094,-0.08266019821166992
0.0001,16,"(256, 128, 64)",300,48.24995040893555,-0.06476187705993652
0.0001,16,"(128, 64, 32)",100,47.303916931152344,-0.043885111808776855
0.0001,16,"(128, 64, 32)",200,48.376976013183594,-0.0675649642944336
0.0001,16,"(128, 64, 32)",300,48.66242218017578,-0.07386410236358643
0.0001,16,"(64, 32, 16)",100,45.54855728149414,-0.005148530006408691
0.0001,16,"(64, 32, 16)",200,46.412132263183594,-0.024205565452575684
0.0001,16,"(64, 32, 16)",300,47.09783172607422,-0.0393373966217041
0.0001,16,"(32, 16, 8)",100,45.25601577758789,0.0013071894645690918
0.0001,16,"(32, 16, 8)",200,45.921695709228516,-0.013382792472839355
0.0001,16,"(32, 16, 8)",300,46.18395233154297,-0.019170165061950684
0.0001,16,"(64, 32, 16, 8)",100,45.625614166259766,-0.006848931312561035
0.0001,16,"(64, 32, 16, 8)",200,46.60676956176758,-0.028500795364379883
0.0001,16,"(64, 32, 16, 8)",300,46.688392639160156,-0.030302047729492188
0.0001,32,"(256, 128, 64)",100,47.289546966552734,-0.04356801509857178
0.0001,32,"(256, 128, 64)",200,48.529335021972656,-0.07092726230621338
0.0001,32,"(256, 128, 64)",300,49.194583892822266,-0.08560776710510254
0.0001,32,"(128, 64, 32)",100,46.160457611083984,-0.018651723861694336
0.0001,32,"(128, 64, 32)",200,46.97395706176758,-0.036603689193725586
0.0001,32,"(128, 64, 32)",300,48.42331314086914,-0.0685875415802002
0.0001,32,"(64, 32, 16)",100,45.45477294921875,-0.003078937530517578
0.0001,32,"(64, 32, 16)",200,45.881961822509766,-0.012505888938903809
