Cell Number,Frame,Area,Perimeter,Extent,Solidity,Compactness,Elongation,Circularity,Convexity,Centroid_X,Centroid_Y,X_Centroid_Distance,Y_Centroid_Distance,X_Centroid_Velocity,Y_Centroid_Velocity
14,61.666666666666664,18273.0,1069.2589582551286,0.7574525640737425,0.42387396120202264,0.21791359268176005,0.9645421922622649,0.875743300272848,0.3090589589272437,674.5334176394612,138.90813544557238,-11.768877891527685,2.2351606190744917,-3.2226046836192404,0.629101052108553
15,41.77777777777778,32899.444444444445,1096.7521161119357,0.8456258101832154,0.6580295738177199,0.364130136293502,0.8407658762865221,0.6380338117867246,0.5570118376372806,1294.1904870227029,695.6486370284412,-3.9378673696294553,0.07780570441784423,0.6612006160102015,-0.09096380126378247
16,32.375,13791.625,739.9879823109334,0.8057208573915993,0.6410185114319713,0.36123777138329116,0.9634376017506413,0.7855535567545264,0.4250691798060782,1141.2901815336593,685.7840530825497,-1.6353183013169428,-0.43181483404372045,0.32157371072679464,-0.443403225481341
18,14.833333333333334,41558.5,1604.788076744601,0.7391631320683736,0.5600975826267868,0.20448684417950802,0.9517079478218093,0.8837472252750042,0.31420686595512487,1100.5538162191344,2458.7533202967697,-7.400026763532575,0.8237481290580794,-5.236423033253302,0.00610935836769777
19,26.153846153846153,27975.76923076923,1074.2303164312546,0.8349780296093687,0.548280134891746,0.32488687894674684,0.8918132543759196,0.6839316976444698,0.5122312839114873,707.0956400975319,2463.856836816369,-1.7291186845506428,-0.05501753766909063,-0.256723411743545,-0.060865502677481656
22,23.166666666666668,45411.416666666664,1568.6532581325607,0.7975507142862822,0.5255791486350895,0.27630025845325934,0.9297887274575878,0.7883344611705722,0.41922423987701274,970.327168125593,112.37969142935269,-1.2606414803747725,-0.32196973490499775,-0.6275035800211763,0.03833549670529432
23,40.6,23005.4,1532.6362333057482,0.7239793264004047,0.5219289406132598,0.13406343879737936,0.9561400320105479,0.9380668909196054,0.22591078680486784,528.8361851673349,150.06588149023256,-0.8497187454637697,-0.2666303550661951,2.7257194337617188,0.3688804785561902
24,14.333333333333334,25330.0,1614.887072600116,0.6137101106410602,0.4741446781594553,0.1252237845436126,0.9303858800452075,0.9327154382324726,0.22061004757117877,864.6181601229679,665.7837752406145,1.0698024288582246,-0.9178460551772029,-0.22499077463634573,-0.23630502101963835
25,45.45,19092.85,1264.0634052058626,0.7419133266317275,0.5294826749302528,0.15136730071257895,0.9733828751140294,0.9258472611229104,0.25022101314122736,1074.1735823019758,727.932744834875,-4.782601077857055,0.26874579907398016,-0.4770386193102019,0.06768475801511503
26,30.710526315789473,64381.55263157895,2103.865701566096,0.7470851992132281,0.5840173048785674,0.18886944276514658,0.8344646916950553,0.8294918126853725,0.3753563348444613,1138.740487401924,1883.162876136545,-0.5667192892804415,-0.09110585231557802,-0.16688684517630223,-0.06534777086219566
27,8.0,24489.666666666668,1802.3124334507822,0.6963609138947243,0.49227453924920406,0.0946914179235832,0.9717670209642776,0.9519341687811104,0.1967249019351204,425.06051949305,65.78260147014674,-2.669547301317929,0.02605070186981114,1.8771575706364463,0.12743303476570964
28,53.0,18023.25,1156.0843071412116,0.7592077662765551,0.5691869187331948,0.1758585230453554,0.9689437737179433,0.9154626921009379,0.2671404039603125,1108.1115003409132,727.20357716014,1.0072656322856233,0.052137374725901964,2.2427771297159786,0.11054393161882989
30,23.6,69017.0,2355.8244942988886,0.7036120809541826,0.5924730370245694,0.15962323775060075,0.7755869351051399,0.8251852872837299,0.36896656456069604,1123.0712257292444,1881.7256741288297,-0.2875583079867738,-0.8177483615577785,-0.2052554133195817,-0.16808677082335838
31,72.84615384615384,20511.46153846154,960.6019476811642,0.6588913504024988,0.4710794236280538,0.28608956807926894,0.9196888345107905,0.7670980709188835,0.39739935499248014,1279.8254854260967,102.67473859243462,-0.26921267304730745,1.1597343353923042,-0.46473251820627676,0.35235552737685466
32,27.333333333333332,50309.666666666664,1731.2356774809323,0.7796431241927001,0.5270413525380363,0.21190094351687586,0.8854987306080851,0.8299073244577482,0.3785233115867596,971.906833558427,110.30068084314242,12.055985499132285,-1.525800907679051,0.7085933085342488,-0.08468071336600742
34,27.5,36135.0,1330.3187766545946,0.7258906492955851,0.5089423762751665,0.2652222257586338,0.8937196203529566,0.7609401230700313,0.4157886379521835,1271.1391662439125,692.1904036208249,-0.16580746895630227,0.6824329586194438,0.30417289885641846,0.3675774180260066
35,40.35294117647059,48413.05882352941,1755.4947516557197,0.7622001260179593,0.6016437839393509,0.19810448209284814,0.952618633540925,0.9011315782841051,0.29620250979437657,1133.2892950949324,2459.9004955402306,-0.9607800904524912,0.16528553164901977,-0.49656896553575,0.06849279421118425
36,24.8,37600.4,1065.0760169228931,0.8938543341247506,0.6324631367150995,0.4177692677113036,0.9691962665967715,0.7221478426011049,0.5141012943254267,1011.0857564554177,109.03319949843619,1.6204155158940465,-0.9313345097437079,0.9544786471000226,-0.5259955186873694
39,50.44444444444444,18329.222222222223,942.6028013526541,0.7174670111588518,0.403761550334647,0.2613537439294543,0.8678940473976223,0.72820003038723,0.4495609873304915,763.9989621163412,116.1802140084679,-4.647997893360942,-0.9766367849250202,-2.284332271352648,-0.9661819087079516
44,20.0,16143.0,1001.867387942851,0.8088034831768615,0.6393999649576897,0.20218383732610987,0.9789219769549931,0.9073198892137908,0.2837172049571358,307.1744316232404,67.50330406408557,-3.360934338245689,-0.4479020987311581,-3.360934338245689,-0.4479020987311581
45,77.31428571428572,71960.17142857143,2702.0457608772963,0.5883540386544336,0.4146139382264955,0.12400659517150969,0.8997084889334711,0.9116924272184695,0.2328601541441226,917.0454399817792,3054.5946196910954,-1.515628508570275,-0.20575878067973982,-0.9879926890586607,-0.04802781015314453
46,79.0,17771.777777777777,800.9203019569618,0.7786532668759194,0.5251395621963629,0.3858865174402745,0.8968946239992458,0.6018589881837116,0.5589302930255624,1323.2179288575187,3057.7263280153297,2.2322580562501266,-1.5948922314156941,0.5380324667660438,-0.2888183274257614
48,54.2,45815.2,1924.7440543544283,0.7294186215754624,0.5615856500315778,0.22072457374407609,0.7744037048539723,0.7659785357283462,0.4100109575349521,1203.4701411727,699.9729630137197,3.0707517708995056,-0.7672353159232671,0.6760110978335052,-0.4170570993143653
49,24.0,25158.666666666668,1670.9472819742805,0.7865286188982373,0.5706448114378316,0.11323689777053851,0.9730548428408355,0.9469430268410446,0.2142567549133804,372.9819869201974,66.19786906978881,-4.055479901075292,-0.23189094757819362,-4.055479901075292,-0.23189094757819362
50,61.666666666666664,27025.666666666668,1021.0505166028233,0.8076796119757924,0.5651893077589673,0.3460474235254547,0.8832174512157605,0.6372179682432307,0.549496099975542,674.5493820617085,2466.4806364426863,-5.831236428529792,1.01264248852173,-0.2541249414470124,0.05448731947307437
51,33.111111111111114,20209.11111111111,1328.9808799456075,0.7505766898927231,0.469707938579169,0.14389113749353835,0.979154126717116,0.9291319569399925,0.24323609188243914,1065.5413852848005,727.083790003105,-2.066310467499812,0.13894823638089646,0.5269325767425189,-0.126827307757084
53,68.89473684210526,23963.78947368421,1205.599934963535,0.6395416398940121,0.49465020150375677,0.20767724518687503,0.881261098297606,0.853266576832351,0.31881745280706414,1233.3042200116558,1266.5163175380214,-0.8925714948904657,0.5567224715155374,-0.07366195198594065,0.02487460568896009
54,82.11111111111111,56995.77777777778,2154.3288273613502,0.6624614909768701,0.5018529489588079,0.1562658981553663,0.8447432149933706,0.8587587795307287,0.3110872999810743,1077.4899795732017,1872.6617117948617,-2.8527341921448066,-1.5447792877603963,-1.8029403109507909,0.14188250240684885
56,45.666666666666664,17340.333333333332,705.2349203109981,0.8692436419437386,0.7128388821004418,0.4648530488389875,0.8079788389347041,0.25991318264758595,0.8215399323078939,81.4064539485238,104.70630518104963,-1.207592401705573,3.3848952288518745,0.5914485127181076,0.9130451984940907
57,79.71428571428571,34454.71428571428,1086.709013132573,0.8658200098221469,0.6397566535213098,0.40156186245493825,0.9165334401957114,0.6754603437569863,0.5451913524963168,898.8542581796171,112.22988843665068,-3.0082365387105483,0.2447387287982567,-1.6321380134707635,0.12165294873647683
