lr,batch_size,hidden_sizes,epochs,mse,r2
0.001,12,"(256, 128, 128, 64, 64, 16, 8)",200,67.6166,-0.171
0.001,12,"(256, 128, 128, 64, 64, 16, 8)",300,64.0111,-0.1085
0.001,12,"(256, 128, 128, 64, 64, 16, 8)",400,66.7201,-0.1554
0.001,12,"(256, 128, 128, 64, 64, 16, 8)",500,66.9471,-0.1594
0.001,12,"(512, 256, 256, 128, 32, 32, 8)",100,67.7951,-0.174
0.001,12,"(512, 256, 256, 128, 32, 32, 8)",200,69.1215,-0.197
0.001,12,"(512, 256, 256, 128, 32, 32, 8)",300,71.0238,-0.23
0.001,12,"(512, 256, 256, 128, 32, 32, 8)",400,72.3073,-0.2522
0.001,12,"(512, 256, 256, 128, 32, 32, 8)",500,60.7641,-0.0523
0.001,12,"(256, 128, 64, 64, 32, 8, 8)",100,57.306,0.0076
0.001,12,"(256, 128, 64, 64, 32, 8, 8)",200,61.1434,-0.0589
0.001,12,"(256, 128, 64, 64, 32, 8, 8)",300,79.3363,-0.3739
0.001,12,"(256, 128, 64, 64, 32, 8, 8)",400,65.9923,-0.1428
0.001,12,"(256, 128, 64, 64, 32, 8, 8)",500,68.1118,-0.1795
0.001,12,"(256, 128, 128, 64, 64, 32, 8)",100,61.8698,-0.0714
0.001,12,"(256, 128, 128, 64, 64, 32, 8)",200,72.106,-0.2487
0.001,12,"(256, 128, 128, 64, 64, 32, 8)",300,64.9622,-0.125
0.001,12,"(256, 128, 128, 64, 64, 32, 8)",400,70.3487,-0.2183
0.001,12,"(256, 128, 128, 64, 64, 32, 8)",500,66.0924,-0.1446
0.001,12,"(64, 32, 32, 16, 8)",100,57.9696,-0.0039
0.001,12,"(64, 32, 32, 16, 8)",200,68.4186,-0.1848
0.001,12,"(64, 32, 32, 16, 8)",300,60.2031,-0.0426
0.001,12,"(64, 32, 32, 16, 8)",400,60.0853,-0.0405
0.001,12,"(64, 32, 32, 16, 8)",500,70.5411,-0.2216
0.001,12,"(32, 32, 16, 8)",100,62.7711,-0.087
0.001,12,"(32, 32, 16, 8)",200,64.4404,-0.1159
0.001,12,"(32, 32, 16, 8)",300,66.5208,-0.152
0.001,12,"(32, 32, 16, 8)",400,63.7786,-0.1045
0.001,12,"(32, 32, 16, 8)",500,54.1158,0.0628
0.001,16,"(1024, 512, 256, 128, 64, 32, 16, 8)",100,56.486,0.0218
0.001,16,"(1024, 512, 256, 128, 64, 32, 16, 8)",200,69.3418,-0.2008
0.001,16,"(1024, 512, 256, 128, 64, 32, 16, 8)",300,65.7987,-0.1395
0.001,16,"(1024, 512, 256, 128, 64, 32, 16, 8)",400,61.5933,-0.0666
0.001,16,"(1024, 512, 256, 128, 64, 32, 16, 8)",500,58.0752,-0.0057
0.001,16,"(512, 256, 128, 64, 32, 16, 8)",100,60.6345,-0.05
0.001,16,"(512, 256, 128, 64, 32, 16, 8)",200,64.6135,-0.1189
0.001,16,"(512, 256, 128, 64, 32, 16, 8)",300,61.9916,-0.0735
0.001,16,"(512, 256, 128, 64, 32, 16, 8)",400,68.5802,-0.1876
0.001,16,"(512, 256, 128, 64, 32, 16, 8)",500,74.1172,-0.2835
0.001,16,"(256, 128, 64, 32, 16, 8)",100,59.5031,-0.0304
0.001,16,"(256, 128, 64, 32, 16, 8)",200,61.668,-0.0679
